dataset_name,identifier,directory
2020-DiversityOne-Amrita-Magnetic Field,004.AAAD.AAG.BP,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Position/magneticfield.parquet
2020-DiversityOne-Amrita-Music,004.AAAD.AAG.AI,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/App-usage/music.parquet
2020-DiversityOne-Amrita-Notification,004.AAAD.AAG.AJ,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/App-usage/notification.parquet
2020-DiversityOne-Amrita-Pressure,004.AAAD.AAG.AS,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Environment/pressure.parquet
2020-DiversityOne-Amrita-Proximity,004.AAAD.AAG.BR,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Position/proximity.parquet
2020-DiversityOne-Amrita-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Synchronic-Interactions/survey1.parquet
2020-DiversityOne-Amrita-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Synchronic-Interactions/survey2.parquet
2020-DiversityOne-Amrita-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Synchronic-Interactions/survey3.parquet
2020-DiversityOne-Amrita-Questionnaire Diversity A,004.AAAD.AAG.AA.1,
2020-DiversityOne-Amrita-Questionnaire Diversity B,004.AAAD.AAG.AA.2,
2020-DiversityOne-Amrita-Questionnaire Diversity C,004.AAAD.AAG.AA.3,
2020-DiversityOne-Amrita-Ring Mode,004.AAAD.AAG.BW,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/ringmode.parquet
2020-DiversityOne-Amrita-Screen,004.AAAD.AAG.BX,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/screen.parquet
2020-DiversityOne-Amrita-Step Counter,004.AAAD.AAG.BH,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Motion/stepcounter.parquet
2020-DiversityOne-Amrita-Step Detector,004.AAAD.AAG.BI,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Motion/stepdetector.parquet
2020-DiversityOne-Amrita-Time Diaries,004.AAAD.AAG.CG,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Diachronic-Interactions/timediaries.parquet
2020-DiversityOne-Amrita-Touch,004.AAAD.AAG.BY,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/touch.parquet
2020-DiversityOne-Amrita-User Presence,004.AAAD.AAG.BZ,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/userpresence.parquet
2020-DiversityOne-Amrita-Wifi,004.AAAD.AAG.AN,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Connectivity/wifi.parquet
2020-DiversityOne-Amrita-Wifi Networks,004.AAAD.AAG.AO,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Connectivity/wifinetworks.parquet
2020-DiversityOne-Asunción-Accelerometer,004.AAAD.AAD.AY,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Motion/accelerometer.parquet
2020-DiversityOne-Asunción-Activities,004.AAAD.AAD.CF,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Motion/activities.parquet
2020-DiversityOne-Asunción-Airplane Mode,004.AAAD.AAD.BS,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/airplanemode.parquet
2020-DiversityOne-Asunción-Application,004.AAAD.AAD.AG,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/App-usage/application.parquet
2020-DiversityOne-Asunción-Battery Charge,004.AAAD.AAD.BT,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/batterycharge.parquet
2020-DiversityOne-Asunción-Battery Monitoring Log,004.AAAD.AAD.BU,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/batterymonitoringlog.parquet
2020-DiversityOne-Asunción-Bluetooth,004.AAAD.AAD.CE,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Connectivity/bluetooth.parquet
2020-DiversityOne-Asunción-Cellular Network,004.AAAD.AAD.AM,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Connectivity/cellularnetwork.parquet
2020-DiversityOne-Asunción-Doze,004.AAAD.AAD.BV,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/doze.parquet
2020-DiversityOne-Asunción-Gyroscope,004.AAAD.AAD.BB,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Motion/gyroscope.parquet
2020-DiversityOne-Asunción-Headset Plug,004.AAAD.AAD.AH,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/App-usage/headsetplug.parquet
2020-DiversityOne-Asunción-Light,004.AAAD.AAD.AR,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Environment/light.parquet
2020-DiversityOne-Asunción-Location POI,004.AAAD.AAD.CC,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Position/location_poi.parquet
2020-DiversityOne-Asunción-Location RD,004.AAAD.AAD.CD,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Position/location_rd.parquet
2020-DiversityOne-Asunción-Magnetic Field,004.AAAD.AAD.BP,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Position/magneticfield.parquet
2020-DiversityOne-Asunción-Music,004.AAAD.AAD.AI,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/App-usage/music.parquet
2020-DiversityOne-Asunción-Notification,004.AAAD.AAD.AJ,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/App-usage/notification.parquet
2020-DiversityOne-Asunción-Pressure,004.AAAD.AAD.AS,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Environment/pressure.parquet
2020-DiversityOne-Asunción-Proximity,004.AAAD.AAD.BR,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Position/proximity.parquet
2020-DiversityOne-Asunción-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Synchronic-Interactions/survey1.parquet
2020-DiversityOne-Asunción-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Synchronic-Interactions/survey2.parquet
2020-DiversityOne-Asunción-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Synchronic-Interactions/survey3.parquet
2020-DiversityOne-Asunción-Questionnaire Diversity A,004.AAAD.AAD.AA.1,
2020-DiversityOne-Asunción-Questionnaire Diversity B,004.AAAD.AAD.AA.2,
2020-DiversityOne-Asunción-Questionnaire Diversity C,004.AAAD.AAD.AA.3,
2020-DiversityOne-Asunción-Ring Mode,004.AAAD.AAD.BW,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/ringmode.parquet
2020-DiversityOne-Asunción-Screen,004.AAAD.AAD.BX,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/screen.parquet
2020-DiversityOne-Asunción-Step Counter,004.AAAD.AAD.BH,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Motion/stepcounter.parquet
2020-DiversityOne-Asunción-Step Detector,004.AAAD.AAD.BI,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Motion/stepdetector.parquet
2020-DiversityOne-Asunción-Time Diaries,004.AAAD.AAD.CG,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Diachronic-Interactions/timediaries.parquet
2020-DiversityOne-Asunción-Touch,004.AAAD.AAD.BY,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/touch.parquet
